date,time,lang,task,lstm,word_len_mean,pronunciation_len_mean,nb_samples,max_len_input,max_len_target,nb_input_symbols,nb_output_symbols,x_symbols,y_symbols,x_nb_symbols,y_nb_symbols,trainable_params,training_duration,val_accuracy,nb_predictions,nb_good_predictions,test_err_index,test_accuracy,test_duration,test_err_1_label,test_err_1_nb,test_err_1_word,test_err_1_pronunciation,test_err_1_prediction,test_err_2_label,test_err_2_nb,test_err_2_word,test_err_2_pronunciation,test_err_2_prediction,test_err_3_label,test_err_3_nb,test_err_3_word,test_err_3_pronunciation,test_err_3_prediction
2020-03-17,21:33:55,eno,write,512,7.3,7.3,42217,28,29,42,52,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɝ, ɡ, ɨ, ɪ, ɫ, ɲ, ɵ, ɹ, ɾ, ʃ, ʉ, ʊ, ʌ, ʍ, ʒ, ʔ, ʰ, ː, θ",42,50,2325045,0:01:07.775668,0.753,1000,0,"[0.    0.985 0.015 0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.   ]",0.0,0:02:35.202761,w:-.ʉ.r.i.k.h.ɑ.j.+.ə.f.f.f.ɨ.ʰ.ʰ.,1,ʉbrɵikhɑj,əɹeɪbæsɪə,əfffɨʰʰbɵ,w:-.ɚ.ɚ.ʃ.ɔ.ɪ.+.l.l.l.ɵ.ŋ.,1,ɚɚʃɔɪ,mæɹid,lllɵŋ,w:-.p.ʔ.z.k.æ.+.l.l.l.ɵ.ŋ.,1,pʔzkæ,nɪmbl,lllɵŋ
2020-03-17,21:37:48,eno,read,512,7.3,7.3,42217,28,29,50,44,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɝ, ɡ, ɨ, ɪ, ɫ, ɲ, ɵ, ɹ, ɾ, ʃ, ʉ, ʊ, ʌ, ʍ, ʒ, ʔ, ʰ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ",50,42,2320941,0:01:43.830038,0.77,1000,0,"[0.    0.891 0.093 0.011 0.005 0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.   ]",0.0,0:02:37.186847,r:-.w.ɛ.b.s.ə.ɹ.a.ɪ.t.+.k.ɪ.ɪ.ə.ə.ə.ɪ.ə.ə.,1,θrulɾŋnɝːɛ,wɛbstəɹaɪt,kɪɪəəəɪəət,r:-.b.ʌ.k.+.s.ɪ.ɪ.,1,btdɒɝ,bʌkɪt,sɪɪɪt,r:-.a.l.ɪ.k.i.z.+.ə.s.ə.ə.ə.t.,1,ɔɨpɵːʒɵf,kaɪlɪkiz,kəsɪəəət
2020-03-17,21:42:18,ent,write,512,7.3,7.3,42217,28,29,42,44,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ",42,42,2304557,0:03:40.400471,0.991,1000,893,"[0.         0.         0.00934579 0.00934579 0.08411215 0.12149533
 0.14953271 0.11214953 0.18691589 0.12149533 0.11214953 0.05607477
 0.02803738 0.00934579 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.89,0:02:33.074251,w:-.n.+.ə.,3,diːkɑːbəneɪt,diːkɑːbəneɪt,diːkɑːbəəeɪt,w:-.ɹ.+.ɡ.,2,ɪntəɹɹɛɡnə,ɪntəɹɹɛɡnə,ɪntəɹɛɡɡnə,w:-.d.+.ə.,2,əbændnədli,əbændnədli,əbændnəəli
2020-03-17,21:48:39,ent,read,512,7.3,7.3,42217,28,29,42,44,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ",42,42,2304557,0:04:50.318644,0.992,1000,904,"[0.         0.04166667 0.04166667 0.04166667 0.0625     0.11458333
 0.09375    0.10416667 0.20833333 0.11458333 0.10416667 0.0625
 0.01041667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.9,0:02:34.410713,r:-.ɪ.+.e.,3,əbɹiːvieɪʃən,əbɹiːvieɪʃən,əbɹiːvieeʃən,r:-.n.+.ɪ.,2,bɪdaɪzənɹɪ,bɪdaɪzənɹɪ,bɪdaɪzəɹɪɪ,r:-.ʊ.+.ə.,2,kɹækəlʊɹ,kɹækəlʊɹ,kɹækələɹ
2020-03-17,21:56:12,ar,write,512,8.9,8.0,12058,18,21,32,50,"a, b, d, e, f, h, i, j, k, l, m, n, q, r, s, t, u, w, x, z, ð, ħ, ɣ, ɪ, ʃ, ʊ, ʒ, ʔ, ʕ, ː, ˤ, θ","., ء, آ, أ, ؤ, إ, ئ, ا, ب, ة, ت, ث, ج, ح, خ, د, ذ, ر, ز, س, ش, ص, ض, ط, ظ, ع, غ, ف, ق, ك, ل, م, ن, ه, و, ى, ي, ً, ٌ, ٍ, َ, ُ, ِ, ّ, ْ, ٓ, ٰ, ی",32,48,2299443,0:01:31.037311,0.959,1000,587,"[0.         0.05811138 0.05084746 0.08716707 0.062954   0.26634383
 0.11380145 0.05084746 0.05326877 0.02179177 0.03874092 0.0653753
 0.08232446 0.04842615 0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.59,0:03:18.667194,w:-.+.َ.,34,يُحْدَثُوْا,juħdaθuːaː,يُحْدَثُوْاَ,w:-.+.ّ.,26,جَرَحَا,dʒaraħaː,جَرَّحَا,w:-.+.ا.,18,جَنِّسُوْا,dʒanisuːaː,جَنِّسُوْاا
2020-03-17,22:01:07,ar,read,512,8.9,8.0,12058,20,19,48,34,"., ء, آ, أ, ؤ, إ, ئ, ا, ب, ة, ت, ث, ج, ح, خ, د, ذ, ر, ز, س, ش, ص, ض, ط, ظ, ع, غ, ف, ق, ك, ل, م, ن, ه, و, ى, ي, ً, ٌ, ٍ, َ, ُ, ِ, ّ, ْ, ٓ, ٰ, ی","a, b, d, e, f, h, i, j, k, l, m, n, q, r, s, t, u, w, x, z, ð, ħ, ɣ, ɪ, ʃ, ʊ, ʒ, ʔ, ʕ, ː, ˤ, θ",48,32,2291235,0:02:25.228029,0.991,1000,923,"[0.         0.07792208 0.11688312 0.1038961  0.09090909 0.1038961
 0.11688312 0.1038961  0.1038961  0.05194805 0.09090909 0.01298701
 0.01298701 0.         0.         0.01298701 0.         0.
 0.         0.        ]",0.92,0:02:48.141940,r:-.+.ː.,6,اِسْتَبَاحَ,istabaːħa,istabaːħaː,r:-.+.i.,5,ظَاعْن,ðˤaːʕn,ðˤaːʕin,r:-.ʃ.+.r.,2,متشرد,mtʃrd,mtrrd
2020-03-17,22:06:26,br,write,512,7.5,6.6,17343,18,21,45,31,"a, b, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, y, z, ã, õ, ø, ĩ, ŋ, œ, ũ, ɑ, ɔ, ɛ, ɡ, ɣ, ɥ, ɲ, ɵ, ʃ, ʎ, ʒ, ̃, ẽ, ỹ","', a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, y, z, ê, ñ, ù, ü",45,29,2277408,0:02:34.325534,0.963,1000,661,"[0.         0.03539823 0.02654867 0.09439528 0.16519174 0.21238938
 0.14749263 0.15044248 0.06489676 0.05014749 0.03244838 0.01179941
 0.00884956 0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.66,0:02:39.990980,w:-.t.+.d.,17,tevat,tewat,tevad,w:-.d.+.t.,17,kanod,kãnot,kanot,w:-.+.n.,13,ridellen,ridɛlɛn,ridellenn
2020-03-17,22:11:47,br,read,512,7.5,6.6,17343,20,19,29,47,"', a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, y, z, ê, ñ, ù, ü","a, b, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, y, z, ã, õ, ø, ĩ, ŋ, œ, ũ, ɑ, ɔ, ɛ, ɡ, ɣ, ɥ, ɲ, ɵ, ʃ, ʎ, ʒ, ̃, ẽ, ỹ",29,45,2285616,0:03:58.949123,0.971,1000,708,"[0.         0.06164384 0.16780822 0.1369863  0.23972603 0.17808219
 0.09589041 0.07191781 0.0239726  0.01369863 0.00342466 0.00342466
 0.00342466 0.         0.         0.         0.         0.
 0.         0.        ]",0.71,0:02:21.989495,r:-.ɛ.+.e.,24,euskareg,øskɑrɛk,øskɑrek,r:-.e.+.ɛ.,13,glepien,ɡlepjɛn,ɡlɛpjɛn,r:-.ɑ.+.a.,9,marr,mɑr,mar
2020-03-17,22:18:14,de,write,512,11.5,10.2,529742,27,26,41,32,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, y, z, æ, ç, ø, ŋ, œ, ɐ, ɑ, ɔ, ə, ɛ, ɡ, ɪ, ʁ, ʃ, ʊ, ʏ, ʒ, ̃, θ","a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, ß, ä, ö, ü",41,30,2271777,0:03:15.478954,0.893,1000,52,"[0.         0.02953586 0.03375527 0.07489451 0.08227848 0.09493671
 0.11708861 0.10970464 0.10548523 0.08227848 0.0907173  0.07278481
 0.05801688 0.02320675 0.01054852 0.00421941 0.00316456 0.00316456
 0.00316456 0.         0.         0.         0.         0.00105485
 0.         0.         0.        ]",0.05,0:04:26.064317,w:-.+.e.,28,heilfieber,haɪlfibɐ,heilfiebeer,w:-.+.n.,25,wände,vɛndə,wänden,w:-.+.t.e.,17,angedachtes,anɡədaxtəs,angedachtetes
2020-03-17,22:26:07,de,read,512,11.5,10.2,529742,25,28,30,43,"a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, ß, ä, ö, ü","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, y, z, æ, ç, ø, ŋ, œ, ɐ, ɑ, ɔ, ə, ɛ, ɡ, ɪ, ʁ, ʃ, ʊ, ʏ, ʒ, ̃, θ",30,41,2277420,0:07:05.571807,0.922,1000,371,"[0.         0.03656598 0.07313196 0.06836248 0.16852146 0.13990461
 0.12559618 0.11923688 0.08108108 0.07472178 0.04133545 0.03020668
 0.02225755 0.0127186  0.00317965 0.00158983 0.00158983 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.37,0:03:24.021873,r:-.+.n.,17,aquamariner,akvamaʁinɐ,akvamaʁinnɐ,r:-.+.ə.,13,faulens,faʊləns,faʊlənəs,r:-.+.t.,8,verzinntest,fɛɐtsɪntəst,fɛɐtsɪntəstt
