date,time,lang,task,lstm,word_len_mean,pronunciation_len_mean,nb_samples,max_len_input,max_len_target,nb_input_symbols,nb_output_symbols,x_symbols,y_symbols,x_nb_symbols,y_nb_symbols,trainable_params,training_duration,val_accuracy,nb_predictions,nb_good_predictions,test_err_index,test_accuracy,test_duration,test_err_1_label,test_err_1_nb,test_err_1_word,test_err_1_pronunciation,test_err_1_prediction,test_err_2_label,test_err_2_nb,test_err_2_word,test_err_2_pronunciation,test_err_2_prediction,test_err_3_label,test_err_3_nb,test_err_3_word,test_err_3_pronunciation,test_err_3_prediction
2020-01-15,17:30:43,eno,write,512,7.3,7.3,42217,28,29,42,52,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɝ, ɡ, ɨ, ɪ, ɫ, ɲ, ɵ, ɹ, ɾ, ʃ, ʉ, ʊ, ʌ, ʍ, ʒ, ʔ, ʰ, ː, θ",42,50,2325045,0:01:51.923969,0.749,1000,0,"[0.    0.982 0.017 0.001 0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.   ]",0.0,0:02:25.933401,w:-.ʒ.ɚ.z.ŋ.t.+.r.ɡ.ɡ.θ.ɵ.,1,ʒɚzŋt,stɹɪɡ,rɡɡθɵ,w:-.ɫ.ɛ.ɛ.f.æ.ŋ.m.+.ɡ.ɡ.ɡ.ɨ.ɨ.ɨ.b.,1,ɫɛɛfæŋm,pɑntʃoʊ,ɡɡɡɨɨɨb,w:-.i.j.ʔ.h.l.j.+.ɡ.ɡ.ɡ.ɨ.ɨ.b.,1,ɨijʔhlj,əbɔɹtəs,ɡɡɡɨɨɨb
2020-01-15,17:35:11,eno,read,512,7.3,7.3,42217,28,29,50,44,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɝ, ɡ, ɨ, ɪ, ɫ, ɲ, ɵ, ɹ, ɾ, ʃ, ʉ, ʊ, ʌ, ʍ, ʒ, ʔ, ʰ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ",50,42,2320941,0:02:23.629825,0.775,1000,0,"[0.    0.895 0.088 0.015 0.002 0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.   ]",0.0,0:02:25.627042,r:-.k.ɹ.a.ɪ.+.b.ɛ.ː.t.,1,hɪʍɛ,kɹaɪ,bɛːt,r:-.m.ɛ.t.l.+.s.ɪ.ɪ.i.,1,jʉʊɫɔ,mɛtəl,sɪɪəi,r:-.n.j.u.ː.ɹ.ə.l.+.k.ɪ.ɪ.ɪ.ə.ə.ɪ.,1,æʌɡneɝjw,njuːtɹəl,kɪɪɪəəɪt
2020-01-15,17:40:08,ent,write,512,7.3,7.3,42217,28,29,42,44,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ",42,42,2304557,0:03:53.211480,0.991,1000,886,"[0.         0.01754386 0.05263158 0.04385965 0.02631579 0.14912281
 0.16666667 0.14035088 0.14912281 0.15789474 0.03508772 0.02631579
 0.02631579 0.         0.         0.00877193 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]",0.89,0:02:27.141889,w:-.ɛ.+.t.,3,ɡlɒtəʊdʒənɛtɪk,ɡlɒtəʊdʒənɛtɪk,ɡlɒtəʊdʒənttɪk,w:-.m.+.æ.,2,əɡzæmɪnɚ,əɡzæmɪnɚ,əɡzææɪnɚ,w:-.k.+.t.,2,bɹækɪdæktɪləs,bɹækɪdæktɪləs,bɹækɪdættɪləs
2020-01-15,17:46:35,ent,read,512,7.3,7.3,42217,28,29,42,44,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, z, æ, ð, ŋ, ɑ, ɒ, ɔ, ə, ɚ, ɛ, ɡ, ɪ, ɲ, ɵ, ɹ, ʃ, ʊ, ʌ, ʍ, ʒ, ː, θ",42,42,2304557,0:08:15.847531,0.993,1000,900,"[0.   0.   0.05 0.09 0.04 0.07 0.09 0.06 0.18 0.21 0.13 0.04 0.02 0.02
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.  ]",0.9,0:02:28.138057,r:-.j.+.ə.,2,ʃamətjəɹɪzm,ʃamətjəɹɪzm,ʃamətəəɹɪzm,r:-.ɪ.+.ɪ.,2,əblɪviælɪti,əblɪviælɪti,əblɪviæɪlti,r:-.ʃ.+.n.,2,kɒnjəʃɛnti,kɒnjəʃɛnti,kɒnjənɛnti
2020-01-15,17:57:26,ar,write,512,8.9,8.0,12058,18,21,32,50,"a, b, d, e, f, h, i, j, k, l, m, n, q, r, s, t, u, w, x, z, ð, ħ, ɣ, ɪ, ʃ, ʊ, ʒ, ʔ, ʕ, ː, ˤ, θ","., ء, آ, أ, ؤ, إ, ئ, ا, ب, ة, ت, ث, ج, ح, خ, د, ذ, ر, ز, س, ش, ص, ض, ط, ظ, ع, غ, ف, ق, ك, ل, م, ن, ه, و, ى, ي, ً, ٌ, ٍ, َ, ُ, ِ, ّ, ْ, ٓ, ٰ, ی",32,48,2299443,0:02:40.658005,0.958,1000,591,"[0.         0.03667482 0.07334963 0.06356968 0.04400978 0.27628362
 0.10268949 0.06112469 0.06356968 0.05623472 0.0391198  0.07579462
 0.09046455 0.01222494 0.00244499 0.00244499 0.         0.
 0.         0.         0.         0.        ]",0.59,0:03:06.157543,w:-.+.َ.,45,اُدْرُسُوْا,udrusuːaː,اُدْرُسُوْاَ,w:-.ا.+.ن.َ.,23,تُنَقِّبُوْا,tunaqibuːaː,تُنَقِّبُوْنَ,w:-.+.ّ.,17,سَمِعَ,samiʕa,سَمِّعَ
2020-01-15,18:03:18,ar,read,512,8.9,8.0,12058,20,19,48,34,"., ء, آ, أ, ؤ, إ, ئ, ا, ب, ة, ت, ث, ج, ح, خ, د, ذ, ر, ز, س, ش, ص, ض, ط, ظ, ع, غ, ف, ق, ك, ل, م, ن, ه, و, ى, ي, ً, ٌ, ٍ, َ, ُ, ِ, ّ, ْ, ٓ, ٰ, ی","a, b, d, e, f, h, i, j, k, l, m, n, q, r, s, t, u, w, x, z, ð, ħ, ɣ, ɪ, ʃ, ʊ, ʒ, ʔ, ʕ, ː, ˤ, θ",48,32,2291235,0:04:38.442707,0.99,1000,930,"[0.         0.04285714 0.07142857 0.17142857 0.14285714 0.12857143
 0.1        0.1        0.12857143 0.05714286 0.02857143 0.02857143
 0.         0.         0.         0.         0.         0.
 0.         0.        ]",0.93,0:02:42.842645,r:-.a.+.,4,سِجِلَّات,sidʒilaaːt,sidʒilaːt,r:-.+.a.,3,سِرْيَانِيَّة,sirjaːniːa,sirjaːniːaa,r:-.z.+.f.,2,تَمُّوْز,tamuwz,tamuwf
2020-01-15,18:10:44,br,write,512,7.5,6.6,17343,18,21,45,31,"a, b, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, y, z, ã, õ, ø, ĩ, ŋ, œ, ũ, ɑ, ɔ, ɛ, ɡ, ɣ, ɥ, ɲ, ɵ, ʃ, ʎ, ʒ, ̃, ẽ, ỹ","', a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, y, z, ê, ñ, ù, ü",45,29,2277408,0:04:54.894527,0.962,1000,614,"[0.         0.01813472 0.06217617 0.0984456  0.18911917 0.15803109
 0.14507772 0.14766839 0.07772021 0.04404145 0.03626943 0.02331606
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.61,0:02:32.928720,w:-.+.h.,18,gaou,ɡɔw,gaouh,w:-.d.+.t.,14,sklaved,sklɑvet,sklavet,w:-.n.+.,12,mellenn,mɛlɛn,mellen
2020-01-15,18:18:18,br,read,512,7.5,6.6,17343,20,19,29,47,"', a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, y, z, ê, ñ, ù, ü","a, b, d, e, f, g, h, i, j, k, l, m, n, o, p, r, s, t, u, v, w, x, y, z, ã, õ, ø, ĩ, ŋ, œ, ũ, ɑ, ɔ, ɛ, ɡ, ɣ, ɥ, ɲ, ɵ, ʃ, ʎ, ʒ, ̃, ẽ, ỹ",29,45,2285616,0:04:32.845163,0.971,1000,716,"[0.         0.04577465 0.17605634 0.10915493 0.27112676 0.12676056
 0.11619718 0.09859155 0.01760563 0.01056338 0.01056338 0.01056338
 0.         0.00352113 0.00352113 0.         0.         0.
 0.         0.        ]",0.72,0:02:21.719055,r:-.ɛ.+.e.,28,mezhur,mɛzyr,mezyr,r:-.e.+.ɛ.,12,avieler,avielɛr,avilɛɛr,r:-.o.+.ɔ.,7,korrig,korik,kɔrik
2020-01-15,18:25:18,de,write,512,11.5,10.2,529742,27,26,41,32,"a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, y, z, æ, ç, ø, ŋ, œ, ɐ, ɑ, ɔ, ə, ɛ, ɡ, ɪ, ʁ, ʃ, ʊ, ʏ, ʒ, ̃, θ","a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, ß, ä, ö, ü",41,30,2271777,0:06:49.209775,0.907,1000,168,"[0.         0.03725962 0.05288462 0.10096154 0.11418269 0.13100962
 0.09254808 0.10216346 0.09014423 0.06971154 0.06370192 0.05288462
 0.04567308 0.03004808 0.01081731 0.00360577 0.00240385 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.        ]",0.17,0:03:54.147106,w:-.+.e.,18,gleiskörpern,ɡlaɪskœʁpɐn,gleiskörperne,w:-.+.t.,15,entsorgtet,ɛntzɔʁktət,entsorgtett,w:-.+.s.,10,zückst,tsʏkst,zücksst
2020-01-15,18:36:24,de,read,512,11.5,10.2,529742,25,28,30,43,"a, b, c, d, e, f, g, h, i, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, ß, ä, ö, ü","a, b, d, e, f, h, i, j, k, l, m, n, o, p, s, t, u, v, w, x, y, z, æ, ç, ø, ŋ, œ, ɐ, ɑ, ɔ, ə, ɛ, ɡ, ɪ, ʁ, ʃ, ʊ, ʏ, ʒ, ̃, θ",30,41,2277420,0:08:07.125014,0.93,1000,364,"[0.         0.02672956 0.06132075 0.08490566 0.12421384 0.12893082
 0.11949686 0.1336478  0.12106918 0.06761006 0.0581761  0.03459119
 0.02201258 0.01257862 0.00314465 0.         0.00157233 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",0.36,0:03:31.829341,r:-.+.ə.,34,inbegriffen,ɪnbəɡʁɪfn,ɪnbəɡʁɪfən,r:-.+.n.,15,ankotzender,ankɔtsndɐ,ankɔtsnndɐ,r:-.+.s.,9,zurückrennt,tsuʁʏkʁɛnt,tsuʁʏkʁɛnts
